category,name,benefit,city,address,web
Hoteles,Hotel Ninfa,"Otorga un descuento del 20 % de la tarifa neta (antes de impuestos) en todas las reservas que ingresen por la promoción, 12 meses con intereses",Puerto Ayora,Av.charles darwin s/n y los colonos sc: las ninfas / (05) 2526-127,
Hoteles,Hotel Sol y Mar,"Para la 3ra noche aplica el 50% sobre la tarifa rack, o la 4ta noche gratis, 12 meses con intereses",Puerto Ayora,Charles darwin s/n y thomas de berlanga sc: central / (05) 2526-281,
Hoteles,Galapagos Dreams,"20% de descuento sobre nuestra tarifas normales, 12 meses con intereses",Puerto Ayora,Cucuve s/n y los piqueros sc: s/s br: el eden / (05) 2524-861,
Hoteles,Hotel Flamingo,"20% de descuento sobre nuestra tarifas normales, 12 meses con intereses",Puerto Ayora,Tomas de berlanga sn y islas plazas sc: ss rf: fte a segmar / (02) 2526-556,
Hoteles,Hotel Continental,"Descuentos de hasta del 27% sobre las tarifas regulares, tarifas 5% más bajas que cualquier central internacional de reservas, sólo basta accesar a http://www.hotelcontinental.com.ec/es/reservas/, y en el espacio que dice codigo promo, escribir vipconti",Guayaquil,"Av. 10 de agosto 512y, guayaquil 090313 / (04) 2329-270",www.hotelcontinental.com.ec/sitio-oficial/guayaquil
Hoteles,Barcelo Salinas,"10% de descuento en la tarifa para estadías de domingo a jueves, 25% de descuento en suplemento de habitaciones vista al mar y frente al mar para estadías de domingo a jueves, minimo dos noches de estancia
 , el descuento & beneficio no aplica para los feriados ni en los festivos",Salinas,"Malecon entre la 38 y la 40 (guayas), salinas 241550 / (04) 2771-610",www.barcelo.com/barceló/salinas‎
Hoteles,Holiday Inn Guayaquil,"Tarifa especial: $75.00 en acomodación doble más impuestos en fin de semana, late check out 3pm, incuye: desayuno buffet, parqueadero, traslados programados al mall del sol en horarios programados, transfer aeropuerto – hotel – aeropuerto, acceso a piscina, gimnasio, jacuzzi y áreas públicas del hotel",Guayaquil,Av.las americas s/n y mz.47 solar 21 ed: hotel holiday / (04) 3714-610,www.holidayinn.com/guayaquil/holidayinn‎
Agencias de Viaje,Speed Travel,"Punta cana: tour de compras, varadero: 10% de descuento en niños (aplica niños hasta 11 años), miami – orlando: tour de compras en premium vineland y 1 monopod (palo de selfies) por habitación, panamá ciudad: tour de compras metromall ida y vuelta, 12 meses con intereses",Guayaquil,Junin 108 y e/malecon simon bolivar / (04) 2307-242; 09 82212274,www.speedtravel.com.ec/
Agencias de Viaje,Bm Tours,Up grade en habitaciones para el caribe y diferido 3 meses sin intereses en todos los destinos para el caribe,Guayaquil,Av. joaquin orrantia s/n y hotel sonesta of m106 / (04) 3703-200,www.bmtours.com.ec
Hoteles,Atamari,10% de descuento,Santa Elena,"Km. 84 via sta. elena - puerto lopez, sector cinco cerros, ayampe 131950 / 09 9951 5213",
Hoteles,El Retiro Finca Hosteria,"Cortesia: canopy, pared de escalar, paseo en caballo, caballos miniatura con carreta (ideal para niños), paseo en carreta con caballo y paseo por nuestro sendero ecológico (incluye puentes colgantes y un mirador en la parte alta de la montaña)",Manglar Alto,"Manglaralto km. 1,5 via san vicente / 09 99104109; (04) 2399-213; (04) 2239-907",
Hoteles,Royal Hotel,"30% de descuento mas 1 desayuno local, no aplica feriados ni fines de semana",Machala,Juin e/sucre y olmedo / (07) 2960-010,
Hoteles,Regal Hotel,"30% de descuento mas 1 desayuno local, no aplica feriados ni fines de semana",Machala,Bolívar e/guayas y ayacucho / (07) 2960-000,
Agencias de Viaje,Ocean Blue,"Descuento del 20% en paquetes nacionales e internacionales, no aplica para pasajes aéreos",Machala,Arizaga e/9 de mayo y guayas / (07) 2968-474,
Hoteles,Hotel Oro Verde Machala,"Tarifa especial de alojamiento de $129,00 incluido impuestos por noche para dos adultos y dos menores de 12 años en habitación doble deluxe e incluye: uso de parqueadero privado, cocktails de bienvenida, internet wi-fi, desayunos buffets de la mañana siguiente y uso de instalaciones; con la reserva mínima de 2 noches, 12 meses con intereses",Machala,Circunvalacion norte y calle v7 urbanización unioro / (07) 2980-074,www.oroverdemachala.com
Agencias de Viaje,Americantouring S.A.,"20% de descuento en paquetes internacionales, 12 meses con intereses",Machala,Bolivar e/. juan montalvo y 9 de mayo / (07) 6004-291,www.americantouring.com.ec
Hoteles,Hotel Oro Verde Manta,"20% de descuento , 12 meses con intereses, solo aplica en hospedaje",Manta,Av. malecón entre calles 21 y 23 / (05) 2629-200,www.oroverdehotels.com
Hoteles,Hotel Poseidón,"15% de descuento, 12 meses con intereses, no aplica feriados",Manta,Km 1.5 vía a barbasquillo / (05) 5002-800,www.hotelposeidon-manta.com
Hoteles,Mantahost Hotel,"15% de descuento, 12 meses con intereses, no aplica feriados",Manta,Vía manta barbasquillo / (05) 2677-503,www.mantahosthotel.com
Hoteles,Palmazul,"20% de descuento , 12 meses con intereses, no aplica feriados",Bahía,"San clemente, av. quito y secundaria / (05) 2673-008",www.palmazulecuador.com